scheduled_date,player_name,position,team_market,rec_rec,rec_yds,targets,grades_pass_route,pff_snaps,avg_depth_of_target,drop_rate,route_rate,slot_rate,wide_rate,yards_per_reception,yprr
2024-08-25,Pofele Ashlock,WR,Hawai'i,1,16,104.0,59.8,564.0,9.3,17.6,95.5,96.9,3.1,10.2,1.53
2024-08-25,Alex Perry,WR,Hawai'i,1,5,41.0,53.2,403.0,11.8,15.4,94.8,5.5,94.5,8.9,0.71
2024-08-25,Alex Perry,WR,Hawai'i,1,9,41.0,53.2,403.0,11.8,15.4,94.8,5.5,94.5,8.9,0.71
2024-08-25,Pofele Ashlock,WR,Hawai'i,1,13,104.0,59.8,564.0,9.3,17.6,95.5,96.9,3.1,10.2,1.53
2024-08-25,Pofele Ashlock,WR,Hawai'i,1,10,104.0,59.8,564.0,9.3,17.6,95.5,96.9,3.1,10.2,1.53
2024-08-25,Pofele Ashlock,WR,Hawai'i,1,13,104.0,59.8,564.0,9.3,17.6,95.5,96.9,3.1,10.2,1.53
2024-08-25,Nick Cenacle,WR,Hawai'i,1,4,95.0,67.2,610.0,10.6,6.0,95.9,95.5,4.5,11.5,1.61
2024-08-25,Pofele Ashlock,WR,Hawai'i,1,29,104.0,59.8,564.0,9.3,17.6,95.5,96.9,3.1,10.2,1.53
2024-08-24,Luke Wysong,WR,New Mexico,1,14,110.0,78.0,676.0,11.7,9.2,91.8,63.7,34.2,12.1,2.49
2024-08-24,Luke Wysong,WR,New Mexico,1,53,110.0,78.0,676.0,11.7,9.2,91.8,63.7,34.2,12.1,2.49
2024-08-24,Ryan Davis,WR,New Mexico,1,4,87.0,74.8,729.0,12.3,5.3,91.1,34.2,65.1,13.8,2.09
2024-08-24,Luke Wysong,WR,New Mexico,1,14,110.0,78.0,676.0,11.7,9.2,91.8,63.7,34.2,12.1,2.49
2024-08-24,Ryan Davis,WR,New Mexico,1,11,87.0,74.8,729.0,12.3,5.3,91.1,34.2,65.1,13.8,2.09
2024-08-24,Luke Wysong,WR,New Mexico,1,2,110.0,78.0,676.0,11.7,9.2,91.8,63.7,34.2,12.1,2.49
2024-08-24,Luke Wysong,WR,New Mexico,1,4,110.0,78.0,676.0,11.7,9.2,91.8,63.7,34.2,12.1,2.49
2024-08-24,Nic Trujillo,WR,New Mexico,1,2,40.0,65.3,374.0,20.2,15.8,92.4,37.1,62.9,19.1,1.47
2024-08-24,Luke Wysong,WR,New Mexico,1,8,110.0,78.0,676.0,11.7,9.2,91.8,63.7,34.2,12.1,2.49
2024-08-24,Ryan Davis,WR,New Mexico,1,6,87.0,74.8,729.0,12.3,5.3,91.1,34.2,65.1,13.8,2.09
2024-08-24,Nic Trujillo,WR,New Mexico,1,-1,40.0,65.3,374.0,20.2,15.8,92.4,37.1,62.9,19.1,1.47
2024-08-25,Jaden Smith,WR,Nevada,1,0,94.0,77.9,814.0,13.3,4.6,92.4,12.5,87.1,13.7,2.04
